order_id,customer_id,product_category,product_subcategory,brand,delivery_status,assembly_service_requested,payment_method,product_price,shipping_cost,assembly_cost,total_amount,delivery_window_days,customer_rating
14165,1488,Bedroom,Mattress,IKEA,Delivered,TRUE,Apple Pay,1467.44,0,184.29,1651.73,13,NIL
64987,4611,Bedroom,Wardrobe,Target,Delivered,FALSE,Debit Card,2867.47,141.85,0,3009.32,8,NIL
46421,3547,Bedroom,Wardrobe,CB2,Delivered,TRUE,Bank Transfer,777.62,0,53.37,830.99,1,1.3
82357,5803,Bedroom,Chest of Drawers,CB2,Rescheduled,TRUE,PayPal,1989.68,142.9,36.46,2169.04,10,1.3
92397,6925,Bedroom,Dresser,Urban Outfitters,Rescheduled,TRUE,Credit Card,2660.46,86.95,275.06,3022.47,12,4.9
59823,5554,Bedroom,Nightstand,Overstock,In Transit,FALSE,PayPal,220.64,80.24,0,300.88,13,4.2
69429,6977,Bedroom,Chest of Drawers,Target,Delivered,FALSE,Cash on Delivery,458.07,90.41,0,548.48,4,4.7
31319,7065,Bedroom,Mattress,Wayfair,Delivered,FALSE,Bank Transfer,217.44,39.48,0,256.92,5,4.9
59735,5422,Bedroom,Mattress,HomeGoods,Cancelled,FALSE,Google Pay,219.61,43.36,0,262.97,10,1.3
93886,4598,Bedroom,Chest of Drawers,Crate & Barrel,Failed Delivery,TRUE,Credit Card,2134.61,74.4,44.46,2253.47,4,4.8
14207,6168,Bedroom,Dresser,West Elm,In Transit,FALSE,Apple Pay,1403.64,73.45,0,1477.09,6,1.3
30032,7126,Bedroom,Nightstand,Crate & Barrel,Delivered,TRUE,Cash on Delivery,693.24,124.63,31.91,849.78,13,2.4
84364,2290,Bedroom,Mattress,Pottery Barn,Delivered,FALSE,Bank Transfer,1464.28,0,0,1464.28,11,NIL
96474,8787,Bedroom,Wardrobe,Pottery Barn,Pending,TRUE,Google Pay,864.29,126.75,47.59,1038.63,11,NIL
89507,7932,Bedroom,Chest of Drawers,Crate & Barrel,Pending,FALSE,Apple Pay,2214.02,146.73,0,2360.75,2,1.1
42493,4681,Bedroom,Bed Frame,Unknown,In Transit,TRUE,Credit Card,2854.68,59.17,26.26,2940.11,6,1.5
38080,9834,Bedroom,Mattress,West Elm,Delivered,TRUE,PayPal,1764.02,64.19,43.65,1871.86,4,2.8
17944,7596,Bedroom,Dresser,World Market,Failed Delivery,TRUE,Bank Transfer,712.22,126.02,97.56,935.8,11,4
65296,4006,Bedroom,Chest of Drawers,Urban Outfitters,Rescheduled,TRUE,Credit Card,1397.61,102.27,137.29,1637.17,5,4.1
73092,4502,Bedroom,Wardrobe,Overstock,Rescheduled,FALSE,Cash on Delivery,544.44,0,0,544.44,14,4.7
84668,5033,Bedroom,Chest of Drawers,West Elm,In Transit,FALSE,Cash on Delivery,2172.26,67.41,0,2239.67,9,4.9
64948,9565,Bedroom,Mattress,Target,Rescheduled,TRUE,PayPal,1382.96,55.54,65.21,1503.71,3,3.8
36772,6147,Bedroom,Mattress,CB2,Rescheduled,TRUE,Apple Pay,2027.39,110.51,27.03,2164.93,11,2.1
37938,9288,Bedroom,Dresser,World Market,Cancelled,FALSE,Google Pay,1726.69,,0,1726.69,13,4.3
27601,5333,Bedroom,Dresser,Overstock,Delivered,FALSE,PayPal,2347.85,119.02,0,2466.87,6,3.2
45697,5616,Bedroom,Mattress,Urban Outfitters,In Transit,TRUE,Credit Card,294.68,92.89,52.62,440.19,7,2.9
42914,1832,Bedroom,Mattress,Ashley Furniture,In Transit,FALSE,Debit Card,1891.22,90.55,0,1981.77,9,2.6
24168,7267,Bedroom,Bed Frame,Ashley Furniture,Delivered,FALSE,Apple Pay,2766.44,74.1,0,2840.54,14,4.2
70332,6728,Bedroom,Mattress,Wayfair,Rescheduled,FALSE,Google Pay,2718.63,106.68,0,2825.31,1,3.7
46517,2137,Bedroom,Chest of Drawers,HomeGoods,Delivered,FALSE,PayPal,359.49,45.1,0,404.59,12,1.6
62386,9785,Bedroom,Wardrobe,West Elm,Failed Delivery,FALSE,PayPal,1635.15,66.95,0,1702.1,5,1.6
33405,5349,Bedroom,Dresser,Wayfair,Cancelled,FALSE,Bank Transfer,1063.9,70.09,0,1133.99,3,4.9
43386,1727,Bedroom,Nightstand,HomeGoods,Pending,TRUE,Credit Card,1216.24,117.96,199.77,1533.97,8,NIL
97900,4228,Bedroom,Wardrobe,IKEA,Cancelled,TRUE,Google Pay,606.39,145.85,244.46,996.7,3,2.7
57739,8066,Bedroom,Nightstand,Unknown,In Transit,TRUE,PayPal,1837.78,120.47,175.23,2133.48,13,3.3
62383,4997,Bedroom,Dresser,IKEA,In Transit,TRUE,Credit Card,2353.99,117.41,87.04,2558.44,1,NIL
77889,8611,Bedroom,Chest of Drawers,IKEA,Delivered,TRUE,Credit Card,2716.26,74.51,153.59,2944.36,9,4.4
25906,8478,Bedroom,Wardrobe,Unknown,Pending,TRUE,Apple Pay,1327.21,95.85,37.64,1460.7,11,1.3
83259,6198,Bedroom,Nightstand,World Market,Pending,TRUE,Debit Card,1028.68,0,28.94,1057.62,11,3.8
93579,5543,Bedroom,Bed Frame,Ashley Furniture,Delivered,FALSE,Apple Pay,1900.2,114.73,0,2014.93,7,2.9
78327,8939,Bedroom,Nightstand,Target,Rescheduled,TRUE,Google Pay,718.45,102.58,267.29,1088.32,6,4.1
56105,5892,Bedroom,Dresser,Unknown,In Transit,TRUE,Google Pay,1758.1,0,41.7,1799.8,13,4.9
26728,9751,Bedroom,Bed Frame,IKEA,Failed Delivery,TRUE,Credit Card,1036.7,63.56,59.64,1159.9,14,1.2
21003,8022,Bedroom,Chest of Drawers,CB2,Delivered,TRUE,Google Pay,739.18,101.33,286.73,1127.24,11,4.2
52906,4467,Bedroom,Wardrobe,IKEA,Cancelled,FALSE,Apple Pay,2331.6,130.54,0,2462.14,11,1.6
55870,4673,Bedroom,Nightstand,Pottery Barn,Failed Delivery,FALSE,Credit Card,2387.85,62.94,0,2450.79,11,2.7
36130,1333,Bedroom,Chest of Drawers,Urban Outfitters,Delivered,TRUE,Cash on Delivery,2956.91,0,56.16,3013.07,12,1.1
24168,1420,Bedroom,Bed Frame,Pottery Barn,In Transit,TRUE,Google Pay,527.66,148.16,35.4,711.22,10,3.3
19038,9289,Bedroom,Chest of Drawers,CB2,Cancelled,TRUE,PayPal,2266.16,75.43,56.04,2397.63,14,2.8
21359,5569,Bedroom,Mattress,Urban Outfitters,Delivered,FALSE,PayPal,1633.73,65.94,0,1699.67,2,4.5
21221,4954,Bedroom,Mattress,Crate & Barrel,Failed Delivery,TRUE,Bank Transfer,1908.12,0,83.55,1991.67,10,4.4
45509,6023,Bedroom,Mattress,Urban Outfitters,Failed Delivery,TRUE,Apple Pay,1182.34,61.83,271.68,1515.85,12,NIL
42951,4777,Bedroom,Wardrobe,Crate & Barrel,Pending,TRUE,Google Pay,609.55,52.24,78.67,740.46,3,NIL
25814,4155,Bedroom,Bed Frame,Overstock,Cancelled,FALSE,Bank Transfer,624.07,101.66,0,725.73,10,3.6
80236,4033,Bedroom,Wardrobe,HomeGoods,Failed Delivery,FALSE,Debit Card,2030,0,0,2030,8,1.3
57301,3939,Bedroom,Nightstand,Overstock,Failed Delivery,FALSE,Bank Transfer,1723.5,67.87,0,1791.37,5,3.3
49618,1231,Bedroom,Chest of Drawers,World Market,Cancelled,TRUE,Bank Transfer,489.39,42.23,30.36,561.98,7,4.2
17146,5786,Bedroom,Chest of Drawers,World Market,Rescheduled,FALSE,Google Pay,1558.95,0,0,1558.95,4,NIL
23446,1200,Bedroom,Wardrobe,Wayfair,In Transit,TRUE,Google Pay,193.79,77.77,172.61,444.17,9,2.4
85243,5658,Bedroom,Nightstand,Ashley Furniture,Rescheduled,FALSE,PayPal,2799.68,76.11,0,2875.79,9,NIL
34164,1841,Bedroom,Dresser,Overstock,Delivered,FALSE,Credit Card,1325.41,103.57,0,1428.98,4,2.6
24953,2070,Bedroom,Mattress,Ashley Furniture,Cancelled,TRUE,Bank Transfer,2245.97,70.68,91.82,2408.47,6,1.4
19710,1878,Bedroom,Wardrobe,Crate & Barrel,Delivered,TRUE,Apple Pay,948.76,0,38.14,986.9,7,3.2
89905,2625,Bedroom,Dresser,Pottery Barn,Delivered,FALSE,Bank Transfer,800.42,79.14,0,879.56,10,2.1
44687,2330,Bedroom,Nightstand,HomeGoods,Rescheduled,FALSE,Cash on Delivery,443.58,29.78,0,473.36,9,NIL
32782,2229,Bedroom,Wardrobe,Pottery Barn,Rescheduled,FALSE,PayPal,2539.78,0,0,2539.78,14,4.5
87832,8699,Bedroom,Dresser,HomeGoods,Delivered,FALSE,Google Pay,967.27,118.78,0,1086.05,13,1
48175,1534,Bedroom,Bed Frame,Urban Outfitters,Failed Delivery,FALSE,Cash on Delivery,1712.4,0,0,1712.4,7,3.9
47056,8438,Bedroom,Dresser,Target,Pending,FALSE,Debit Card,464.52,59.15,0,523.67,5,3
44675,4241,Bedroom,Bed Frame,Pottery Barn,Cancelled,FALSE,Cash on Delivery,579.45,84.19,0,663.64,13,5
19359,1977,Bedroom,Chest of Drawers,CB2,Pending,FALSE,Credit Card,1387.36,0,0,1387.36,10,NIL
40005,1339,Bedroom,Wardrobe,Target,Delivered,FALSE,Apple Pay,1294.44,65.82,0,1360.26,6,3.2
63955,9117,Bedroom,Wardrobe,Target,In Transit,TRUE,Bank Transfer,2791.18,132.01,169.38,3092.57,2,2.9
91609,9167,Bedroom,Mattress,Overstock,Cancelled,FALSE,PayPal,2109.03,118.81,0,2227.84,3,3.4
91973,8242,Bedroom,Nightstand,HomeGoods,In Transit,TRUE,Bank Transfer,1550.62,0,51.61,1602.23,13,4.7
92578,4920,Bedroom,Nightstand,West Elm,Cancelled,TRUE,Bank Transfer,1328.64,67.89,163.53,1560.06,6,4.6
27892,2143,Bedroom,Nightstand,Overstock,Pending,FALSE,Cash on Delivery,592.85,136.52,0,729.37,8,2.7
82340,9903,Bedroom,Mattress,Pottery Barn,Cancelled,FALSE,Credit Card,353.04,70.99,0,424.03,9,1.5
41300,7274,Bedroom,Mattress,Target,Delivered,FALSE,Apple Pay,559.61,75.81,0,635.42,7,4.7
15720,6213,Bedroom,Wardrobe,HomeGoods,Rescheduled,TRUE,Apple Pay,443.36,86.32,155.61,685.29,2,3.1
